# Moving object dataset based on truck movement.
# Source: http://www.rtreeportal.org/trajectories.html
34317990,2,487090,4205592,1
34317990,3,487065,4205599,1
34317990,4,487036,4205609,1
34317990,5,487005,4205612,1
34317990,7,486972,4205614,1
33313320,10,489428,4204444,1
32635440,13,489020,4203761,1
32635440,14,489091,4203805,1
32635440,15,489140,4203912,1
32635440,16,489247,4203929,1
32635440,17,489423,4203912,1
33086466,17,485905,4220106,1
32635440,18,489536,4203957,1
33086466,18,485916,4220076,1
32635440,19,489570,4204126,1
32635440,20,489427,4204237,1
32635440,21,489369,4204347,1
32636310,21,489404,4204404,1
32635440,22,489434,4204432,1
32636310,22,489355,4204345,1
33313320,22,489407,4204426,1
32635440,23,489447,4204450,1
32636310,23,489329,4204320,1
32636310,24,489187,4204422,1
32636310,25,488953,4204619,1
32636310,26,488755,4204828,1
32636310,27,488660,4204986,1
32636310,28,488350,4205152,1
32636310,29,488055,4205362,1
32636310,30,487749,4205526,1
32636310,31,487482,4205733,1
32636310,32,487379,4205833,1
32636310,33,487380,4206090,1
32636310,34,487428,4206330,1
32636310,35,487434,4206354,1
32636310,36,487430,4206368,1
32636310,37,487303,4206413,1
32636310,38,487059,4206511,1
32636310,39,486696,4206597,1
32636310,40,486369,4206666,1
32636310,41,486148,4206705,1
32636310,42,485856,4206749,1
32636310,43,485541,4206916,1
32636310,44,485241,4207014,1
32636310,45,485238,4207015,1
32636310,46,485019,4207073,1
32636310,47,484609,4207081,1
32636310,48,484236,4207061,1
32636310,49,483843,4206969,1
32636310,50,483435,4206844,1
32636310,51,483360,4206821,1
32636310,52,483124,4206745,1
32636310,53,482844,4206578,1
32636310,54,482586,4206444,1
32636310,55,482502,4206405,1
32636310,56,482265,4206319,1
32636310,57,481980,4206204,1
32636310,58,481800,4206065,1
32636310,59,481594,4205864,1
32786362,59,489425,4204428,1
32636310,60,481376,4205750,1
32786362,60,489425,4204426,1
32636310,61,481182,4205655,1
32786362,61,489426,4204438,1
32636310,62,481006,4205759,1
32636310,63,480776,4205905,1
32636310,64,480730,4205887,1
32636310,65,480592,4205714,1
32636310,66,480318,4205681,1
32636310,67,480224,4205856,1
32636310,68,480169,4206034,1
32636310,69,480159,4206038,1
32636310,70,480155,4206072,1
34207296,70,485870,4220116,1
34207296,71,485874,4220118,1
34317990,88,487062,4205592,1
34317990,89,487084,4205610,1
34317990,90,487036,4205670,1
34317990,91,487063,4205724,1
34317990,92,487096,4205830,1
34317990,93,487122,4205961,1
34317990,94,487385,4205794,1
34317990,95,487753,4205517,1
34317990,96,488076,4205342,1
32636310,97,480156,4206059,1
34317990,97,488381,4205120,1
